2026-06-10 05:36:25,105 - main - INFO - === Logging system initialized ===
2026-06-10 05:36:25,106 - main - INFO - Log file: logs/app_20260610_053625.log
2026-06-10 05:36:25,106 - main - INFO - Log level: INFO
2026-06-10 05:36:25,106 - main - INFO - Timestamp: 20260610_053625
2026-06-10 05:36:26,073 - main - INFO - Included router: routers.aihub.router
2026-06-10 05:36:26,099 - main - INFO - Included router: routers.analysis.router
2026-06-10 05:36:26,119 - main - INFO - Included router: routers.auth.router
2026-06-10 05:36:26,121 - main - INFO - Included router: routers.health.router
2026-06-10 05:36:26,146 - main - INFO - Included router: routers.settings.router
2026-06-10 05:36:26,184 - main - INFO - Included router: routers.storage.router
2026-06-10 05:36:26,195 - main - INFO - Included router: routers.user.router
2026-06-10 05:36:27,667 - watchfiles.main - DEBUG - 1 change detected: {(<Change.added: 1>, '/workspace/app/backend/logs/app_20260610_053627.log')}
2026-06-10 05:36:28,018 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:28,369 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:28,720 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053627.log')}
2026-06-10 05:36:29,071 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:29,422 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:29,773 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:30,124 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:30,475 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:30,826 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:31,177 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:31,528 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:31,879 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:32,230 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:32,581 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:32,932 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:33,283 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:33,634 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:33,985 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:34,336 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:34,687 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:35,038 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:35,389 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:35,740 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:36,091 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:36,442 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:36,793 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:37,144 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:37,495 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:37,846 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:38,197 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:38,548 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:38,899 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:39,250 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:39,601 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:39,952 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:40,303 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:40,654 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:41,005 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:41,355 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:41,707 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:42,058 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:42,409 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:42,760 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:43,111 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:43,462 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:43,813 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:44,164 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:44,515 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
2026-06-10 05:36:44,880 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_053625.log')}
