2026-06-10 04:53:32,446 - main - INFO - === Logging system initialized ===
2026-06-10 04:53:32,446 - main - INFO - Log file: logs/app_20260610_045332.log
2026-06-10 04:53:32,447 - main - INFO - Log level: INFO
2026-06-10 04:53:32,447 - main - INFO - Timestamp: 20260610_045332
2026-06-10 04:53:33,268 - main - INFO - Included router: routers.aihub.router
2026-06-10 04:53:33,289 - main - INFO - Included router: routers.analysis.router
2026-06-10 04:53:33,303 - main - INFO - Included router: routers.auth.router
2026-06-10 04:53:33,307 - main - INFO - Included router: routers.health.router
2026-06-10 04:53:33,328 - main - INFO - Included router: routers.settings.router
2026-06-10 04:53:33,364 - main - INFO - Included router: routers.storage.router
2026-06-10 04:53:33,374 - main - INFO - Included router: routers.user.router
2026-06-10 04:53:34,986 - watchfiles.main - DEBUG - 1 change detected: {(<Change.added: 1>, '/workspace/app/backend/logs/app_20260610_045334.log')}
2026-06-10 04:53:35,337 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_045332.log')}
2026-06-10 04:53:35,688 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_045332.log')}
2026-06-10 04:53:36,039 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_045332.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_045334.log')}
2026-06-10 04:53:36,390 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_045332.log')}
2026-06-10 04:53:36,741 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_045332.log')}
2026-06-10 04:53:37,092 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_045332.log')}
2026-06-10 04:53:37,443 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_045332.log')}
2026-06-10 04:53:37,794 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_045332.log')}
2026-06-10 04:53:38,144 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_045332.log')}
2026-06-10 04:53:38,495 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_045332.log')}
2026-06-10 04:53:38,846 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_045332.log')}
2026-06-10 04:53:39,197 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_045332.log')}
2026-06-10 04:53:39,548 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_045332.log')}
2026-06-10 04:53:39,899 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_045332.log')}
