2026-06-12 10:21:23,324 - main - INFO - === Logging system initialized ===
2026-06-12 10:21:23,324 - main - INFO - Log file: logs/app_20260612_102123.log
2026-06-12 10:21:23,324 - main - INFO - Log level: INFO
2026-06-12 10:21:23,324 - main - INFO - Timestamp: 20260612_102123
2026-06-12 10:21:24,130 - main - INFO - Included router: routers.aihub.router
2026-06-12 10:21:24,149 - main - INFO - Included router: routers.analysis.router
2026-06-12 10:21:24,162 - main - INFO - Included router: routers.auth.router
2026-06-12 10:21:24,206 - main - INFO - Included router: routers.doctor_patients.router
2026-06-12 10:21:24,208 - main - INFO - Included router: routers.health.router
2026-06-12 10:21:24,222 - main - INFO - Included router: routers.invite.router
2026-06-12 10:21:24,233 - main - INFO - Included router: routers.reports.router
2026-06-12 10:21:24,251 - main - INFO - Included router: routers.settings.router
2026-06-12 10:21:24,283 - main - INFO - Included router: routers.storage.router
2026-06-12 10:21:24,291 - main - INFO - Included router: routers.user.router
2026-06-12 10:21:24,333 - main - INFO - Included router: routers.users_profiles.router
2026-06-12 10:21:25,596 - watchfiles.main - DEBUG - 1 change detected: {(<Change.added: 1>, '/workspace/app/backend/logs/app_20260612_102125.log')}
2026-06-12 10:21:25,948 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:26,298 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102125.log')}
2026-06-12 10:21:26,649 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102125.log')}
2026-06-12 10:21:27,000 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:27,351 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:27,701 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:28,052 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:28,403 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:28,754 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:29,104 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:29,455 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:29,806 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:30,157 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:30,508 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:30,859 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:31,210 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:31,561 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:31,912 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:32,263 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:32,614 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:32,965 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:33,316 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:33,667 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:34,018 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:34,369 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:34,720 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:35,071 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:35,422 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:35,773 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:36,124 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:36,475 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:36,825 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102125.log')}
2026-06-12 10:21:37,176 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:37,527 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:37,878 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:38,229 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:38,580 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:38,931 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:39,281 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:39,632 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:39,983 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:40,334 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:40,685 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:41,036 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:41,388 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:41,738 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:42,090 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
2026-06-12 10:21:42,440 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102123.log')}
