2026-06-18 12:59:16,770 - main - INFO - === Logging system initialized ===
2026-06-18 12:59:16,770 - main - INFO - Log file: logs/app_20260618_125916.log
2026-06-18 12:59:16,771 - main - INFO - Log level: INFO
2026-06-18 12:59:16,771 - main - INFO - Timestamp: 20260618_125916
2026-06-18 12:59:17,566 - main - INFO - Included router: routers.aihub.router
2026-06-18 12:59:17,583 - main - INFO - Included router: routers.analysis.router
2026-06-18 12:59:17,595 - main - INFO - Included router: routers.auth.router
2026-06-18 12:59:17,609 - main - INFO - Included router: routers.custom_auth.router
2026-06-18 12:59:17,652 - main - INFO - Included router: routers.doctor_patients.router
2026-06-18 12:59:17,654 - main - INFO - Included router: routers.health.router
2026-06-18 12:59:17,705 - main - INFO - Included router: routers.invite.router
2026-06-18 12:59:17,718 - main - INFO - Included router: routers.reports.router
2026-06-18 12:59:17,736 - main - INFO - Included router: routers.settings.router
2026-06-18 12:59:17,769 - main - INFO - Included router: routers.storage.router
2026-06-18 12:59:17,775 - main - INFO - Included router: routers.user.router
2026-06-18 12:59:17,820 - main - INFO - Included router: routers.users_profiles.router
2026-06-18 12:59:26,052 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:26,403 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:26,753 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:27,104 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:27,455 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:27,806 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:28,157 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:28,508 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:28,860 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:29,210 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:29,561 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:29,912 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:30,263 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:30,614 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:30,965 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:31,316 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:31,667 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:32,018 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:32,369 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:32,719 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:33,070 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:33,421 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:33,772 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:34,122 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:34,473 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:34,824 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:35,175 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:35,526 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:35,877 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:36,228 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:36,579 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:36,930 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:37,280 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:37,631 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:37,982 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
2026-06-18 12:59:38,333 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125916.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260618_125914.log')}
