2026-07-07 01:38:49,863 - main - INFO - === Logging system initialized ===
2026-07-07 01:38:49,863 - main - INFO - Log file: logs/app_20260707_013849.log
2026-07-07 01:38:49,863 - main - INFO - Log level: INFO
2026-07-07 01:38:49,863 - main - INFO - Timestamp: 20260707_013849
2026-07-07 01:38:50,748 - main - INFO - Included router: routers.aihub.router
2026-07-07 01:38:50,771 - main - INFO - Included router: routers.analysis.router
2026-07-07 01:38:50,786 - main - INFO - Included router: routers.auth.router
2026-07-07 01:38:50,802 - main - INFO - Included router: routers.custom_auth.router
2026-07-07 01:38:50,853 - main - INFO - Included router: routers.doctor_patients.router
2026-07-07 01:38:50,856 - main - INFO - Included router: routers.health.router
2026-07-07 01:38:50,918 - main - INFO - Included router: routers.invite.router
2026-07-07 01:38:50,938 - main - INFO - Included router: routers.reports.router
2026-07-07 01:38:50,961 - main - INFO - Included router: routers.settings.router
2026-07-07 01:38:50,995 - main - INFO - Included router: routers.storage.router
2026-07-07 01:38:51,004 - main - INFO - Included router: routers.user.router
2026-07-07 01:38:51,088 - main - INFO - Included router: routers.users_profiles.router
2026-07-07 01:38:52,502 - watchfiles.main - DEBUG - 1 change detected: {(<Change.added: 1>, '/workspace/app/backend/logs/app_20260707_013852.log')}
2026-07-07 01:38:52,853 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:38:53,204 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:38:53,555 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013852.log')}
2026-07-07 01:38:53,905 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013852.log')}
2026-07-07 01:38:54,256 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:38:54,607 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:38:54,958 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:38:55,309 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:38:55,660 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:38:56,011 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:38:56,362 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:38:56,713 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:38:57,064 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:38:57,415 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:38:57,766 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:38:58,117 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:38:58,468 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:38:58,819 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:38:59,170 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:38:59,521 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:38:59,873 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:39:00,224 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:39:00,575 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:39:00,926 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:39:01,277 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:39:01,628 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:39:01,979 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:39:02,331 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:39:02,682 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:39:03,032 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:39:03,384 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:39:03,735 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:39:04,086 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:39:04,437 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:39:04,788 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:39:05,139 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:39:05,490 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:39:05,841 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:39:06,192 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:39:06,542 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:39:06,893 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
2026-07-07 01:39:07,244 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260707_013849.log')}
