2026-06-15 03:01:13,963 - main - INFO - === Logging system initialized ===
2026-06-15 03:01:13,964 - main - INFO - Log file: logs/app_20260615_030113.log
2026-06-15 03:01:13,964 - main - INFO - Log level: INFO
2026-06-15 03:01:13,964 - main - INFO - Timestamp: 20260615_030113
2026-06-15 03:01:24,446 - main - INFO - Included router: routers.aihub.router
2026-06-15 03:01:24,522 - main - INFO - Included router: routers.analysis.router
2026-06-15 03:01:24,586 - main - INFO - Included router: routers.auth.router
2026-06-15 03:01:24,631 - main - INFO - Included router: routers.custom_auth.router
2026-06-15 03:01:24,734 - main - INFO - Included router: routers.doctor_patients.router
2026-06-15 03:01:24,760 - main - INFO - Included router: routers.health.router
2026-06-15 03:01:24,931 - main - INFO - Included router: routers.invite.router
2026-06-15 03:01:24,959 - main - INFO - Included router: routers.reports.router
2026-06-15 03:01:24,984 - main - INFO - Included router: routers.settings.router
2026-06-15 03:01:25,153 - main - INFO - Included router: routers.storage.router
2026-06-15 03:01:25,244 - main - INFO - Included router: routers.user.router
2026-06-15 03:01:25,331 - main - INFO - Included router: routers.users_profiles.router
2026-06-15 03:01:28,262 - watchfiles.main - DEBUG - 1 change detected: {(<Change.added: 1>, '/workspace/app/backend/logs/app_20260615_030128.log')}
2026-06-15 03:01:28,613 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260615_030113.log')}
2026-06-15 03:01:28,964 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260615_030113.log')}
2026-06-15 03:01:29,365 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260615_030128.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260615_030113.log')}
2026-06-15 03:01:29,716 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260615_030128.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260615_030113.log')}
2026-06-15 03:01:30,067 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260615_030113.log')}
2026-06-15 03:01:30,417 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260615_030113.log')}
2026-06-15 03:01:30,768 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260615_030113.log')}
2026-06-15 03:01:31,119 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260615_030113.log')}
2026-06-15 03:01:31,470 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260615_030113.log')}
2026-06-15 03:01:31,821 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260615_030113.log')}
2026-06-15 03:01:32,172 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260615_030113.log')}
2026-06-15 03:01:32,523 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260615_030113.log')}
2026-06-15 03:01:32,874 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260615_030113.log')}
2026-06-15 03:01:33,225 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260615_030113.log')}
2026-06-15 03:01:33,575 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260615_030113.log')}
2026-06-15 03:01:33,926 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260615_030113.log')}
2026-06-15 03:01:34,277 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260615_030113.log')}
2026-06-15 03:01:34,628 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260615_030113.log')}
2026-06-15 03:01:34,979 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260615_030113.log')}
2026-06-15 03:01:35,330 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260615_030113.log')}
2026-06-15 03:01:35,681 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260615_030113.log')}
2026-06-15 03:01:36,031 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260615_030113.log')}
2026-06-15 03:01:36,382 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260615_030113.log')}
2026-06-15 03:01:36,733 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260615_030113.log')}
2026-06-15 03:01:37,084 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260615_030113.log')}
2026-06-15 03:01:37,435 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260615_030113.log')}
2026-06-15 03:01:37,786 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260615_030113.log')}
2026-06-15 03:01:38,136 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260615_030113.log')}
