2026-06-12 11:37:57,295 - main - INFO - === Logging system initialized ===
2026-06-12 11:37:57,295 - main - INFO - Log file: logs/app_20260612_113757.log
2026-06-12 11:37:57,295 - main - INFO - Log level: INFO
2026-06-12 11:37:57,295 - main - INFO - Timestamp: 20260612_113757
2026-06-12 11:37:58,090 - main - INFO - Included router: routers.aihub.router
2026-06-12 11:37:58,113 - main - INFO - Included router: routers.analysis.router
2026-06-12 11:37:58,127 - main - INFO - Included router: routers.auth.router
2026-06-12 11:37:58,137 - main - INFO - Included router: routers.custom_auth.router
2026-06-12 11:37:58,180 - main - INFO - Included router: routers.doctor_patients.router
2026-06-12 11:37:58,182 - main - INFO - Included router: routers.health.router
2026-06-12 11:37:58,232 - main - INFO - Included router: routers.invite.router
2026-06-12 11:37:58,243 - main - INFO - Included router: routers.reports.router
2026-06-12 11:37:58,263 - main - INFO - Included router: routers.settings.router
2026-06-12 11:37:58,296 - main - INFO - Included router: routers.storage.router
2026-06-12 11:37:58,304 - main - INFO - Included router: routers.user.router
2026-06-12 11:37:58,349 - main - INFO - Included router: routers.users_profiles.router
2026-06-12 11:37:59,914 - watchfiles.main - DEBUG - 1 change detected: {(<Change.added: 1>, '/workspace/app/backend/logs/app_20260612_113759.log')}
2026-06-12 11:38:00,265 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:00,616 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:00,967 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113759.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:01,318 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:01,669 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:02,020 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:02,371 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:02,722 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:03,073 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:03,423 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:03,774 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:04,125 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:04,476 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:04,827 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:05,178 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:05,529 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:05,879 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:06,230 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:06,581 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:06,932 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:07,283 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:07,634 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:07,984 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:08,335 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:08,686 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:09,037 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:09,388 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:09,739 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:10,090 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:10,440 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:10,791 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:11,142 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:11,493 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:11,844 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:12,195 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:12,546 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:12,897 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:13,247 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:13,598 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:13,949 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:14,300 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:14,651 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:15,002 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:15,354 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:15,705 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:16,056 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:16,406 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:16,758 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:17,108 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:17,459 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:17,810 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:18,160 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:18,511 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:18,862 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:19,213 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:19,564 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:19,914 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:20,265 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:20,616 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:20,967 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:21,318 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:21,669 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
2026-06-12 11:38:22,020 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_113757.log')}
