2026-06-11 02:41:39,505 - main - INFO - === Logging system initialized ===
2026-06-11 02:41:39,506 - main - INFO - Log file: logs/app_20260611_024139.log
2026-06-11 02:41:39,506 - main - INFO - Log level: INFO
2026-06-11 02:41:39,506 - main - INFO - Timestamp: 20260611_024139
2026-06-11 02:41:40,471 - main - INFO - Included router: routers.aihub.router
2026-06-11 02:41:40,486 - main - INFO - Included router: routers.analysis.router
2026-06-11 02:41:40,514 - main - INFO - Included router: routers.auth.router
2026-06-11 02:41:40,516 - main - INFO - Included router: routers.health.router
2026-06-11 02:41:40,532 - main - INFO - Included router: routers.reports.router
2026-06-11 02:41:40,555 - main - INFO - Included router: routers.settings.router
2026-06-11 02:41:40,593 - main - INFO - Included router: routers.storage.router
2026-06-11 02:41:40,602 - main - INFO - Included router: routers.user.router
2026-06-11 02:41:42,167 - watchfiles.main - DEBUG - 1 change detected: {(<Change.added: 1>, '/workspace/app/backend/logs/app_20260611_024142.log')}
2026-06-11 02:41:42,518 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260611_024139.log')}
2026-06-11 02:41:42,919 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260611_024139.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260611_024142.log')}
2026-06-11 02:41:43,270 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260611_024139.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260611_024142.log')}
2026-06-11 02:41:43,620 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260611_024139.log')}
2026-06-11 02:41:43,971 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260611_024139.log')}
2026-06-11 02:41:44,322 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260611_024139.log')}
2026-06-11 02:41:44,673 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260611_024139.log')}
2026-06-11 02:41:45,024 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260611_024139.log')}
2026-06-11 02:41:45,374 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260611_024139.log')}
