2026-06-12 12:57:53,116 - main - INFO - === Logging system initialized ===
2026-06-12 12:57:53,116 - main - INFO - Log file: logs/app_20260612_125753.log
2026-06-12 12:57:53,116 - main - INFO - Log level: INFO
2026-06-12 12:57:53,116 - main - INFO - Timestamp: 20260612_125753
2026-06-12 12:57:53,933 - main - INFO - Included router: routers.aihub.router
2026-06-12 12:57:53,951 - main - INFO - Included router: routers.analysis.router
2026-06-12 12:57:53,964 - main - INFO - Included router: routers.auth.router
2026-06-12 12:57:53,977 - main - INFO - Included router: routers.custom_auth.router
2026-06-12 12:57:54,023 - main - INFO - Included router: routers.doctor_patients.router
2026-06-12 12:57:54,033 - main - INFO - Included router: routers.health.router
2026-06-12 12:57:54,085 - main - INFO - Included router: routers.invite.router
2026-06-12 12:57:54,095 - main - INFO - Included router: routers.reports.router
2026-06-12 12:57:54,114 - main - INFO - Included router: routers.settings.router
2026-06-12 12:57:54,152 - main - INFO - Included router: routers.storage.router
2026-06-12 12:57:54,161 - main - INFO - Included router: routers.user.router
2026-06-12 12:57:54,210 - main - INFO - Included router: routers.users_profiles.router
2026-06-12 12:57:55,926 - watchfiles.main - DEBUG - 1 change detected: {(<Change.added: 1>, '/workspace/app/backend/logs/app_20260612_125755.log')}
2026-06-12 12:57:56,277 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:57:56,628 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:57:56,979 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125755.log')}
2026-06-12 12:57:57,330 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:57:57,681 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:57:58,032 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:57:58,383 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:57:58,734 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:57:59,085 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:57:59,436 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:57:59,787 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:00,138 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:00,489 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:00,840 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:01,192 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:01,543 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:01,894 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:02,245 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:02,596 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:02,947 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:03,297 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:03,648 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:03,999 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:04,350 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:04,701 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:05,052 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:05,403 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:05,754 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:06,105 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:06,456 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:06,807 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:07,158 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:07,509 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:07,859 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:08,210 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:08,561 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:08,912 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:09,264 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:09,615 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:09,966 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:10,317 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:10,668 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:11,019 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:11,370 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:11,721 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:12,072 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:12,423 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:12,774 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:13,125 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:13,476 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:13,827 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:14,178 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:14,529 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:14,880 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
2026-06-12 12:58:15,231 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_125753.log')}
