2026-06-30 03:30:06,129 - main - INFO - === Logging system initialized ===
2026-06-30 03:30:06,129 - main - INFO - Log file: logs/app_20260630_033006.log
2026-06-30 03:30:06,129 - main - INFO - Log level: INFO
2026-06-30 03:30:06,129 - main - INFO - Timestamp: 20260630_033006
2026-06-30 03:30:06,923 - main - INFO - Included router: routers.aihub.router
2026-06-30 03:30:06,941 - main - INFO - Included router: routers.analysis.router
2026-06-30 03:30:06,953 - main - INFO - Included router: routers.auth.router
2026-06-30 03:30:06,966 - main - INFO - Included router: routers.custom_auth.router
2026-06-30 03:30:07,008 - main - INFO - Included router: routers.doctor_patients.router
2026-06-30 03:30:07,036 - main - INFO - Included router: routers.health.router
2026-06-30 03:30:07,095 - main - INFO - Included router: routers.invite.router
2026-06-30 03:30:07,106 - main - INFO - Included router: routers.reports.router
2026-06-30 03:30:07,142 - main - INFO - Included router: routers.settings.router
2026-06-30 03:30:07,181 - main - INFO - Included router: routers.storage.router
2026-06-30 03:30:07,190 - main - INFO - Included router: routers.user.router
2026-06-30 03:30:07,239 - main - INFO - Included router: routers.users_profiles.router
2026-06-30 03:30:08,935 - watchfiles.main - DEBUG - 1 change detected: {(<Change.added: 1>, '/workspace/app/backend/logs/app_20260630_033008.log')}
2026-06-30 03:30:09,286 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260630_033006.log')}
2026-06-30 03:30:09,637 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260630_033006.log')}
2026-06-30 03:30:09,988 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260630_033008.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260630_033006.log')}
2026-06-30 03:30:10,340 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260630_033008.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260630_033006.log')}
2026-06-30 03:30:10,691 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260630_033006.log')}
2026-06-30 03:30:11,042 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260630_033006.log')}
2026-06-30 03:30:11,393 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260630_033006.log')}
2026-06-30 03:30:11,744 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260630_033006.log')}
2026-06-30 03:30:12,095 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260630_033006.log')}
2026-06-30 03:30:12,446 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260630_033006.log')}
2026-06-30 03:30:12,797 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260630_033006.log')}
2026-06-30 03:30:13,148 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260630_033006.log')}
2026-06-30 03:30:13,499 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260630_033006.log')}
2026-06-30 03:30:13,850 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260630_033006.log')}
2026-06-30 03:30:14,201 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260630_033006.log')}
2026-06-30 03:30:14,552 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260630_033006.log')}
2026-06-30 03:30:14,903 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260630_033006.log')}
2026-06-30 03:30:15,254 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260630_033006.log')}
2026-06-30 03:30:15,605 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260630_033006.log')}
2026-06-30 03:30:15,956 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260630_033006.log')}
2026-06-30 03:30:16,307 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260630_033006.log')}
2026-06-30 03:30:16,658 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260630_033006.log')}
2026-06-30 03:30:17,009 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260630_033006.log')}
2026-06-30 03:30:17,360 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260630_033006.log')}
